model,HAR_daily,HAR_daily_p,HAR_weekly,HAR_weekly_p,HAR_monthly,HAR_monthly_p,x_int,x_int_p,x_int_full,x_int_full_p,m_sent,m_sent_p,P_pos,P_pos_p,P_neg,P_neg_p,a_sent,a_sent_p,d_sent,d_sent_p,G,G_p,c_s,c_s_p
M0,0.4439368800800529,2.5842281958787794e-07,0.21935961597529377,0.0011006814303260448,0.1376694656902291,0.010886562384825327,,,,,,,,,,,,,,,,,,
M1,0.4257982086471139,1.2113676621794411e-06,0.215433879802793,0.0014397933856613587,0.15151889495441073,0.006209797019331553,,,0.05441346212425406,0.00047917801886576683,,,,,,,,,,,,,,
M2,0.41901344065789226,1.1231510872455885e-06,0.21066169436725743,0.0014523463439781725,0.16115149995620515,0.0030952971698074982,0.12838752564817849,4.218847493575595e-13,,,,,,,,,,,,,,,,
M3,0.4437789878452353,1.7835680821143285e-07,0.21936079573224188,0.0011014180290274123,0.13722428401557304,0.010035763831452549,,,,,-0.004221302026760792,0.9321354817478882,,,,,,,,,,,,
M4,0.4429805957412029,3.4898865219901154e-07,0.218246773931465,0.0011300470405528618,0.14394826378522477,0.00798008181006482,,,,,,,0.10277913247581244,0.12203703294261814,,,,,,,,,,
M5,0.44032725883244367,1.87306963050915e-07,0.21854445708831857,0.0011654631034878626,0.13424048044197087,0.011270885829181676,,,,,,,,,0.07728066417848559,0.21806318480609788,,,,,,,,
M6,0.43788944228911897,3.033130839824594e-07,0.21683568706773637,0.0012296320228322166,0.14120626124255092,0.008225650045712962,,,,,,,0.13272921063931103,0.018205808153350267,0.10303364145620993,0.07304776175943206,,,,,,,,
M7,0.4371785289182853,3.1670011413353905e-07,0.21751696447110383,0.0011679286246266685,0.13956885931278348,0.009319343899329313,,,,,,,,,,,0.13838683475427385,0.0007387687231701356,,,,,,
M8,0.4378870408647291,6.15991417873829e-07,0.2186634450539811,0.0011013142856310942,0.14218311307085102,0.008787210094590936,,,,,,,,,,,,,0.12993080078263283,0.0008499044541405709,,,,
M9,0.44412210913139527,2.853425142834709e-07,0.21956768443250707,0.0010660928940808834,0.13759216817976272,0.010673339956370542,,,,,,,,,,,,,,,-0.025813917010978578,0.8172972315900462,,
M10,0.4350261589568869,5.489791736756899e-07,0.21808707011029377,0.0010941041738401491,0.14209753349769969,0.008002893468764816,,,,,,,,,,,0.10590514660509322,0.04296039687649156,0.09238979734132852,0.051664905665073535,-0.07848700680887728,0.46248172110742036,,
M11,0.41507746782582655,8.890316471887871e-07,0.21286205862361865,0.0012667023320735993,0.15506196329283964,0.004022306356744831,,,,,,,,,,,,,,,,,0.14360529933236652,2.6842972289387035e-11
M12,0.41875035173613984,8.118320042882488e-07,0.21066082315384096,0.0014553454142058886,0.16043965196899831,0.0029208062470724716,0.1284285238682387,4.496403249731884e-13,,,-0.006820988400891608,0.8868122089119577,,,,,,,,,,,,
M13,0.41912439683851804,7.870486615768613e-07,0.21092338824493087,0.00142986356464192,0.16050343337074627,0.0029019152092841782,0.1348910426176367,4.042244317048471e-10,,,,,-0.04493549325421982,0.4922369237012685,-0.020454127833299716,0.7204936801846991,,,,,,,,
M14,0.4191797579232356,7.867139628636721e-07,0.21108332083105552,0.0013449231005504547,0.16218253376873984,0.002507093559843465,0.15495284503846585,1.4937454828611862e-08,,,,,,,,,0.01884645021508982,0.7003089455966758,-0.09673661775500363,0.11413976175767382,-0.2424204347405048,0.033778412082786646,,
M15,0.4140961681608396,1.0774286773873598e-06,0.2112285722976789,0.0013423032144717073,0.1595258114453328,0.003097504942649154,0.05875660103297236,0.05765743144188207,,,,,,,,,,,,,,,0.09173057498763192,0.01618748956386229
