loss,model,mean_loss,DM_star,p_two_sided,p_better,verdict
se_log,M3d,0.19834451655332308,-2.2402340912993663,0.027049175143267767,0.9864754124283661,worse
se_log,M4d,0.19739634393290875,0.05282769044798081,0.9579633087174322,0.4789816543587161,better
se_log,M5d,0.19804202759480255,-0.9805945860973683,0.32890616469112555,0.8355469176544372,worse
se_log,M6d,0.1975313249189229,-0.17154085049372725,0.8641080650879758,0.5679459674560121,worse
se_log,M7d,0.19657762046460886,0.875037492366958,0.38342615104110633,0.19171307552055317,better
se_log,M8d,0.19751756837656884,-0.9592436298970016,0.3395022324221202,0.8302488837889399,worse
se_log,M9d,0.1975254812833054,-0.3116426690345123,0.7558914728257102,0.6220542635871449,worse
se_log,M10d,0.19712407592736295,0.29238651076796157,0.7705320723133484,0.3852660361566742,better
se_log,M11d,0.19678339965535505,0.8181288654951623,0.41502080415727916,0.20751040207863958,better
se_log,M12d,0.19786537345876737,-0.5542399847481111,0.580519601376805,0.7097401993115975,worse
se_log,M13d,0.1975155244294578,-0.12904224908139128,0.8975556668781579,0.551222166560921,worse
se_log,M14d,0.19687803209880095,0.4759688251209328,0.6350237135464649,0.31751185677323246,better
se_log,M15d,0.19721433460469834,0.2428506584088101,0.8085652807912354,0.4042826403956177,better
qlike,M3d,0.11472906145206326,-1.7295016752840686,0.08647436945468256,0.9567628152726588,worse
qlike,M4d,0.11418082702955128,-0.13416165440855699,0.8935155340943568,0.5532422329528216,worse
qlike,M5d,0.11424382427979135,-0.1946470768454127,0.8460218841665523,0.5769890579167238,worse
qlike,M6d,0.11381943490323274,0.7049560586329544,0.4823010331817241,0.24115051659086206,better
qlike,M7d,0.11312106748846733,1.5104149394217488,0.13375378995087805,0.06687689497543903,better
qlike,M8d,0.11428713017659398,-1.0909264143010058,0.2776466505232662,0.8611766747383669,worse
qlike,M9d,0.11440549903021023,-0.7031132014588348,0.48344419751055834,0.7582779012447208,worse
qlike,M10d,0.11374721394650443,0.554607792231564,0.5802687944549749,0.29013439722748746,better
qlike,M11d,0.11368443385546001,0.7880692387374014,0.43232097680558246,0.21616048840279123,better
qlike,M12d,0.11453868557658733,-0.6176083391367327,0.5380872665277461,0.730956366736127,worse
qlike,M13d,0.11395693288446382,0.3708452576201476,0.7114532870674282,0.3557266435337141,better
qlike,M14d,0.11384918185454809,0.3324233816699886,0.740190946951172,0.370095473475586,better
qlike,M15d,0.11388135449145381,0.4546196236450283,0.6502628295519262,0.3251314147759631,better
